DEPT;RHOB;TR;VP
3914;2.39926;5;9593.818
3915;2.40522;5;10138.29
3916;2.40141;5;10846.53
3917;2.3585;5;11061.65
3918;2.30815;-9999;11111.59
3919;2.32349;-9999;11379.32
3920;2.35735;-9999;11444.3
3921;2.31184;3;11686.46
3922;2.21962;2;11853.72
3923;2.09872;-9999;12366.1
3924;2.09721;-9999;11438.88
3925;2.28111;3;11610.23
3926;2.49429;5;11350.75
3927;2.44764;5;11102.62
3928;2.38121;5;10423.75
3929;2.40348;5;9970.958
3930;2.40124;5;9870.891
3931;2.44292;5;10014.18
3932;2.47464;5;10528.34
3933;2.50009;5;11154.29
3934;2.461;5;11316.7
3935;2.37267;4;11463.58
3936;2.29791;2;11306.12
3937;2.16845;2;10498.74
3938;2.10938;2;9553.236
3939;2.10776;2;8802.662
3940;2.16649;2;8398.902
3941;2.24342;3;8700.577
3942;2.33563;3;9154.736
3943;2.38409;4;9902.692
3944;2.40249;4;10994.36
3945;2.30096;2;11043.63
3946;2.32172;2;11202.72
3947;2.44036;5;11405.27
3948;2.3985;4;11529.58
3949;2.39976;5;11668.7
3950;2.42751;5;11608.08
3951;2.42213;5;11783.28
3952;2.44332;5;11323.96
3953;2.44038;5;11293.41
3954;2.40723;5;11291.64
3955;2.41196;5;11312.52
3956;2.40809;5;11280.58
3957;2.3354;4;11051.98
3958;2.28149;2;10838
3959;2.34583;4;10679.58
3960;2.37054;4;10654.13
3961;2.32305;3;10910.8
3962;2.3672;5;11205.3
3963;2.42357;5;11335.09
3964;2.4397;5;11395.24
3965;2.45166;5;11646.43
3966;2.43827;5;11700.9
3967;2.43797;5;11139.9
3968;2.44632;5;11570.5
3969;2.44825;5;11034.46
3970;2.43784;5;11335.94
3971;2.44477;5;11360.67
3972;2.45306;5;11418.96
3973;2.41081;5;11457.76
3974;2.40121;5;11650.91
3975;2.40871;5;10905.97
3976;2.38525;5;10551.34
3977;2.37495;5;10204.34
3978;2.41687;5;10170.21
3979;2.44561;5;10470.49
3980;2.46475;5;10867.98
3981;2.51936;5;11049.59
3982;2.49537;5;11202.84
3983;2.48177;5;11383.29
3984;2.47485;5;12043
3985;2.45629;5;12309.1
3986;2.44205;5;12138.47
3987;2.45113;5;12063.57
3988;2.46673;5;11812.87
3989;2.42123;5;11578.91
3990;2.40792;5;11236.7
3991;2.39076;5;11077.23
3992;2.4174;5;11144.34
3993;2.42224;5;11104.08
3994;2.40637;5;10986.27
3995;2.42503;5;10976.95
3996;2.43392;5;10988.22
3997;2.45905;5;10672.59
3998;2.46411;5;10560.16
3999;2.47775;5;10495.11
4000;2.50552;5;10429.43
4001;2.51195;5;10666.72
4002;2.53171;5;11855.47
4003;2.49704;5;12649.9
4004;2.42454;5;13932.66
4005;2.41645;5;12759.84
4006;2.41035;5;11324.9
4007;2.39352;5;10891.83
4008;2.41877;5;10530.29
4009;2.42164;5;10646.85
4010;2.4086;5;10683.76
4011;2.39691;5;10776.9
4012;2.40858;5;10053.79
4013;2.40987;5;9990.478
4014;2.42122;5;9851.875
4015;2.48239;5;10051.08
4016;2.51427;5;10287.57
4017;2.5021;5;10657.26
4018;2.50702;5;11286.65
4019;2.46269;5;11558.44
4020;2.43517;5;11604.19
4021;2.41485;5;11376.46
4022;2.39106;4;11050.46
4023;2.35141;3;10551.59
4024;2.33722;3;10304.66
4025;2.37962;3;10383.96
4026;2.43228;5;10983.61
4027;2.47318;5;12233.83
4028;2.45624;5;13103.04
4029;2.43056;5;13210.77
4030;2.39904;5;12838.4
4031;2.41954;5;11814.91
4032;2.43879;5;11587.42
4033;2.39943;5;11329.59
4034;2.38039;5;11073.52
4035;2.40545;5;10886.46
4036;2.3956;5;10691.08
4037;2.37943;5;10326.19
4038;2.38916;5;9801.952
4039;2.36877;5;9319.903
4040;2.37422;5;9335.17
4041;2.43687;5;9788.349
4042;2.44529;5;9639.15
4043;2.42961;5;11013.62
4044;2.41739;5;11096.22
4045;2.38297;5;10901.13
4046;2.37169;5;10756.99
4047;2.39501;5;10545.2
4048;2.39093;5;10174.57
4049;2.39447;5;10095.04
4050;2.42017;5;9623.554
4051;2.39595;5;9900.072
4052;2.43149;5;10223.98
4053;2.44561;5;10401.68
4054;2.45622;5;10999.49
4055;2.4203;5;11067.16
4056;2.45847;5;11542.31
4057;2.41935;5;11304.79
4058;2.38896;5;11158.17
4059;2.42836;5;11283.55
4060;2.44048;5;11468.49
4061;2.44117;5;11527.31
4062;2.42454;5;11291.49
4063;2.37501;5;10866.32
4064;2.39881;5;9510.609
4065;2.41947;5;10299.77
4066;2.3903;5;10489.59
4067;2.39141;5;10704.07
4068;2.43742;5;11650.49
4069;2.39773;5;11867.01
4070;2.39932;5;11850.52
4071;2.39535;5;11147.83
4072;2.38734;5;10544.87
4073;2.39824;5;10359.65
4074;2.41662;5;10270.24
4075;2.43964;5;10149.61
4076;2.3928;5;10801.35
4077;2.35294;5;11243.13
4078;2.38683;5;10969.97
4079;2.3932;5;10556.75
4080;2.41095;5;10759.12
4081;2.40177;5;10974.86
4082;2.40811;5;11159.48
4083;2.43359;5;11210.91
4084;2.39066;5;11239.51
4085;2.41563;5;11230.48
4086;2.44004;5;11193.35
4087;2.43553;5;11052.94
4088;2.42389;5;11007.97
4089;2.41237;5;10949.46
4090;2.40434;5;10748.36
4091;2.37562;5;10507.86
4092;2.38444;5;10244.52
4093;2.34244;5;10047.35
4094;2.33919;5;9944.813
4095;2.39686;5;9978.944
4096;2.4291;5;10380.82
4097;2.42095;5;10662.63
4098;2.39169;5;10850.78
4099;2.35887;5;10967.73
4100;2.40498;5;10800.94
4101;2.36882;5;10668.79
4102;2.34588;5;10511.24
4103;2.3713;5;10241.82
4104;2.35813;5;10071.14
4105;2.34783;5;9976.272
4106;2.41338;5;10073.7
4107;2.41986;5;10302.79
4108;2.38685;5;10499.44
4109;2.35472;5;10624.68
4110;2.33962;5;10631.78
4111;2.31803;5;10269.63
4112;2.36166;5;10022.56
4113;2.36001;5;9784.424
4114;2.36854;5;9821.884
4115;2.35855;5;9950.857
4116;2.36981;5;10079.82
4117;2.36405;5;10091.21
4118;2.37974;5;10051.63
4119;2.37928;5;10061.06
4120;2.38914;5;10062.4
4121;2.43046;5;10191.9
4122;2.45183;5;10348.29
4123;2.44241;5;10605.5
4124;2.40266;5;10959.87
4125;2.38274;5;11566.89
4126;2.4125;5;12289.36
4127;2.38782;5;11902.71
4128;2.41243;5;11309.11
4129;2.39899;5;11299.77
4130;2.38258;5;10838.06
4131;2.37608;5;9940.625
4132;2.37477;5;9769.111
4133;2.38513;5;9772.415
4134;2.40279;5;9644.962
4135;2.42851;5;10094.39
4136;2.46264;5;10744.09
4137;2.48869;5;9982.558
4138;2.4814;5;10927.93
4139;2.50348;5;10888.96
4140;2.50027;5;10925.61
4141;2.46512;5;11284.56
4142;2.41868;5;11206.28
4143;2.41402;5;10885.69
4144;2.3733;5;10683.7
4145;2.29766;2;10253.2
4146;2.39533;5;10051.68
4147;2.46359;5;10387.46
4148;2.44934;5;10796.13
4149;2.38596;5;11163.67
4150;2.38602;5;10908.07
4151;2.4002;5;10611.65
4152;2.38151;5;10053.24
4153;2.3927;5;10575.27
4154;2.40867;5;10588.69
4155;2.44364;5;10601.24
4156;2.45869;5;10844.7
4157;2.50709;5;10883.23
4158;2.46863;5;10987.48
4159;2.414;5;11336.1
4160;2.43483;5;10707.47
4161;2.41194;5;10211.68
4162;2.38916;5;9612.613
4163;2.39842;5;9956.709
4164;2.36196;5;9357.6
4165;2.38923;5;8802.593
4166;2.40894;5;8959.533
4167;2.40806;5;9713.757
4168;2.41492;5;9822.8
4169;2.43093;5;10493.61
4170;2.42886;5;10651.58
4171;2.41711;5;10762.89
4172;2.41371;5;10743.72
4173;2.28289;3;9972.198
4174;2.15756;2;9487.268
4175;2.18484;2;8687.458
4176;2.27018;2;8934.359
4177;2.32145;2;9084.192
4178;2.29204;2;9463.329
4179;2.27826;2;9658.215
4180;2.2878;2;10251.16
4181;2.38689;4;10967.42
4182;2.46343;5;11180.6
4183;2.47665;5;11852.76
4184;2.45697;5;12093.04
4185;2.43084;5;12146.03
4186;2.40168;5;12466.54
4187;2.37559;4;12451.16
4188;2.40304;5;11363.68
4189;2.45952;5;11297.42
4190;2.47844;5;11407.13
4191;2.43319;5;12150.22
4192;2.40233;5;12568.23
4193;2.3885;4;12979.52
4194;2.39151;4;12467.88
